cod_tramite|cod_usuario|estado|fecha_registro|cod_asesor_propuesto|versionInicial
373|78|RECHAZADO|2019-09-19 00:43:21|27|ConvallisDuis.xls
374|426|APROBADO|2022-01-08 04:54:05|336|SedVel.png
375|69|APROBADO|2018-10-19 23:04:37|195|UltricesPosuereCubilia.ppt
376|155|EN PROCESO|2017-06-27 19:31:33|473|A.ppt
377|324|APROBADO|2019-10-31 01:31:52|292|ANibh.mov
378|399|APROBADO|2016-07-15 00:37:18|239|DiamIn.ppt
379|99|APROBADO|2017-08-02 08:01:51|363|EratQuisqueErat.png
380|230|RECHAZADO|2015-12-17 23:35:49|127|EnimLoremIpsum.mpeg
381|392|APROBADO|2022-08-09 03:44:40|404|CubiliaCuraeMauris.mp3
382|297|RECHAZADO|2017-12-02 10:47:22|384|Aenean.jpeg
383|335|RECHAZADO|2016-09-07 19:26:16|342|Pellentesque.jpeg
384|482|EN PROCESO|2022-03-25 09:47:30|78|MagnaAcConsequat.xls
385|265|RECHAZADO|2021-04-28 05:48:52|235|TempusSemperEst.xls
386|211|APROBADO|2015-02-23 09:50:22|328|Ut.png
387|83|EN PROCESO|2018-08-18 18:34:38|91|JustoIn.xls
388|28|APROBADO|2022-11-30 19:34:10|485|Blandit.xls
389|164|APROBADO|2018-04-30 21:17:57|216|Donec.ppt
390|482|RECHAZADO|2018-07-01 23:02:22|232|SuscipitAFeugiat.ppt
391|406|APROBADO|2022-06-16 17:37:57|228|MorbiOdioOdio.jpeg
392|133|APROBADO|2018-03-03 05:52:33|272|Diam.mp3
393|375|EN PROCESO|2016-08-06 00:33:49|173|Feugiat.png
394|406|APROBADO|2017-05-28 02:16:21|259|Vel.mpeg
395|386|APROBADO|2019-11-13 14:27:44|411|Id.ppt
396|180|RECHAZADO|2018-12-30 03:05:20|251|In.ppt
397|257|APROBADO|2020-06-23 04:10:08|164|SemperEst.ppt
398|493|EN PROCESO|2019-07-09 08:12:32|94|InFelis.doc
399|395|EN PROCESO|2017-11-30 04:38:17|201|Vivamus.mov
400|246|RECHAZADO|2018-09-17 09:30:28|288|PlaceratAnteNulla.mp3
401|157|RECHAZADO|2015-10-06 06:12:55|188|Pede.ppt
402|492|EN PROCESO|2018-11-03 05:45:58|438|LigulaSuspendisseOrnare.ppt
403|300|RECHAZADO|2020-05-13 04:06:29|466|Duis.mp3
404|491|APROBADO|2017-04-20 09:06:58|46|OdioElementumEu.txt
405|147|EN PROCESO|2016-01-05 20:14:19|236|EtUltricesPosuere.jpeg
406|175|RECHAZADO|2017-04-26 06:49:10|393|OdioInHac.avi
407|449|EN PROCESO|2021-11-21 13:53:47|200|UtMassa.avi
408|28|RECHAZADO|2017-10-19 19:40:09|475|Dolor.mpeg
409|426|RECHAZADO|2021-12-08 12:43:07|117|TristiqueInTempus.mpeg
410|106|EN PROCESO|2017-09-26 07:22:41|360|EstCongue.pdf
411|182|EN PROCESO|2015-06-27 17:53:41|147|Quis.ppt
412|394|EN PROCESO|2017-12-27 03:45:32|429|VelSemSed.ppt
413|83|APROBADO|2015-03-12 09:32:11|73|SitAmet.avi
414|93|APROBADO|2015-08-29 16:02:15|491|OdioConsequat.avi
415|24|APROBADO|2016-10-10 07:57:11|174|BlanditLaciniaErat.mp3
416|482|EN PROCESO|2020-01-19 03:26:52|78|IdConsequatIn.jpeg
417|286|RECHAZADO|2016-02-03 20:20:12|489|Lobortis.mov
418|311|RECHAZADO|2017-08-15 22:50:52|492|DuisBibendumMorbi.tiff
419|369|RECHAZADO|2016-06-05 10:23:03|35|LigulaNecSem.ppt
420|303|APROBADO|2020-06-25 02:49:46|3|VolutpatEratQuisque.txt
421|75|APROBADO|2016-05-09 04:07:59|193|VestibulumAliquet.png
422|29|RECHAZADO|2016-02-04 16:06:17|306|AnteIpsumPrimis.xls
423|169|EN PROCESO|2018-09-06 00:54:11|288|VulputateNonummyMaecenas.avi
424|32|RECHAZADO|2016-11-14 23:37:31|362|ArcuLiberoRutrum.mpeg
425|139|APROBADO|2018-01-23 14:50:27|484|NislDuis.mp3
426|359|RECHAZADO|2017-01-20 08:49:34|480|EratFermentum.xls
427|443|EN PROCESO|2017-02-06 15:57:27|108|SitAmetCursus.tiff
428|312|RECHAZADO|2018-03-31 04:52:45|371|Dictumst.avi
429|330|EN PROCESO|2018-12-27 17:35:45|44|LigulaVehicula.mp3
430|319|EN PROCESO|2021-11-03 03:27:50|238|Vulputate.gif
431|453|EN PROCESO|2017-11-06 17:49:56|346|Felis.mpeg
432|464|APROBADO|2021-05-10 20:52:16|295|MaecenasTincidunt.xls
433|245|RECHAZADO|2018-03-09 11:02:07|313|Duis.xls
434|18|EN PROCESO|2017-07-25 01:15:45|284|ErosViverra.pdf
435|254|APROBADO|2022-01-26 23:07:06|452|DuisAtVelit.xls
436|242|EN PROCESO|2015-03-22 07:04:55|20|In.tiff
437|162|EN PROCESO|2019-10-22 01:35:40|124|DapibusDolor.mp3
438|113|EN PROCESO|2020-06-18 18:28:31|252|AmetCursusId.avi
439|237|EN PROCESO|2016-10-11 15:46:01|302|EtMagnis.ppt
440|459|RECHAZADO|2016-05-02 13:32:18|422|LeoRhoncus.avi
441|434|EN PROCESO|2018-06-19 09:11:23|365|Vestibulum.mpeg
442|337|RECHAZADO|2021-12-27 02:08:38|60|VelitId.xls
443|169|EN PROCESO|2016-08-30 16:53:01|443|Odio.ppt
444|264|EN PROCESO|2015-11-06 06:01:35|206|CrasIn.mov
445|297|EN PROCESO|2022-06-30 03:05:41|371|IntegerAliquet.jpeg
446|119|RECHAZADO|2022-01-16 07:02:48|32|InterdumMaurisNon.tiff
447|168|RECHAZADO|2017-08-12 17:43:45|236|LeoMaecenas.avi
448|228|APROBADO|2016-11-27 15:44:55|322|Mi.mp3
449|113|RECHAZADO|2020-04-04 20:43:51|118|LoremQuisqueUt.tiff
450|442|RECHAZADO|2018-02-14 10:19:48|310|PellentesqueUltricesPhasellus.gif
451|27|RECHAZADO|2016-07-30 19:18:13|104|VitaeMattis.ppt
452|123|APROBADO|2018-04-02 16:51:07|305|A.jpeg
453|172|EN PROCESO|2020-11-01 06:57:05|75|Quisque.xls
454|54|APROBADO|2021-01-12 15:43:18|229|Neque.jpeg
455|48|APROBADO|2019-09-02 09:59:21|438|AcConsequatMetus.png
456|41|APROBADO|2017-04-21 19:29:21|462|SemperPortaVolutpat.mov
457|70|APROBADO|2021-01-22 08:16:54|458|LobortisEst.ppt
458|134|APROBADO|2020-07-09 08:22:48|393|UtMaurisEget.txt
459|421|RECHAZADO|2021-12-20 21:40:55|324|SapienNonMi.png
460|474|APROBADO|2018-10-29 06:46:04|159|NullaElit.avi
461|459|EN PROCESO|2017-01-17 04:28:28|404|VolutpatIn.xls
462|79|APROBADO|2016-06-27 02:58:45|420|MassaIdLobortis.tiff
463|57|RECHAZADO|2019-04-30 14:32:01|447|SapienUt.mp3
464|320|RECHAZADO|2019-01-14 15:48:27|358|NullaJustoAliquam.avi
465|478|RECHAZADO|2015-02-22 06:52:03|319|IdOrnare.tiff
466|426|APROBADO|2022-09-30 10:39:33|76|Nec.xls
467|155|EN PROCESO|2019-05-26 11:00:49|286|MolestieNibhIn.mp3
468|442|RECHAZADO|2020-12-29 20:21:16|382|Pellentesque.avi
469|255|EN PROCESO|2018-10-01 12:41:07|208|VestibulumVelitId.avi
470|418|EN PROCESO|2017-07-08 06:29:23|23|PedeVenenatisNon.mp3
471|478|RECHAZADO|2020-03-13 00:18:18|489|AliquetUltricesErat.mpeg
472|298|RECHAZADO|2020-01-10 22:53:46|454|Nec.ppt
473|126|RECHAZADO|2017-06-29 04:59:49|301|NibhInHac.gif
474|401|EN PROCESO|2018-09-19 08:42:07|481|In.mp3
475|208|EN PROCESO|2015-04-16 13:14:45|1|NuncViverraDapibus.ppt
476|227|RECHAZADO|2021-03-06 01:35:33|440|Hac.tiff
477|412|RECHAZADO|2018-12-18 05:03:09|432|Odio.xls
478|345|EN PROCESO|2015-10-16 01:52:47|200|Amet.xls
479|15|RECHAZADO|2016-01-24 20:54:57|22|Suspendisse.avi
480|439|APROBADO|2018-02-14 06:33:50|27|TurpisDonecPosuere.jpeg
481|286|APROBADO|2016-01-12 06:55:22|7|AmetSapien.mp3
482|388|RECHAZADO|2015-08-04 02:45:48|239|Sagittis.mp3
483|478|APROBADO|2015-02-17 16:38:24|74|Ornare.gif
484|329|EN PROCESO|2017-12-04 05:10:35|178|Ut.mpeg
485|335|RECHAZADO|2015-12-14 18:46:36|169|VitaeNisi.xls
486|272|EN PROCESO|2019-11-12 21:45:33|243|Risus.ppt
487|3|RECHAZADO|2016-08-04 20:23:02|154|UllamcorperPurus.tiff
488|427|APROBADO|2021-07-29 22:05:33|196|Habitasse.ppt
489|107|RECHAZADO|2016-12-06 10:16:54|444|EratId.avi
490|292|EN PROCESO|2015-10-21 03:35:24|468|Sed.jpeg
491|354|EN PROCESO|2021-03-27 19:55:18|392|AFeugiat.avi
492|38|RECHAZADO|2017-11-07 19:43:37|33|FelisUt.doc
493|367|APROBADO|2020-09-01 00:46:57|315|Ac.doc
494|93|EN PROCESO|2017-09-05 05:43:43|142|QuisTurpisEget.mov
495|83|EN PROCESO|2016-01-21 17:09:05|352|Lorem.avi
496|391|EN PROCESO|2018-03-23 01:22:30|478|Orci.ppt
497|15|APROBADO|2020-03-07 10:48:30|499|OdioElementumEu.avi
498|192|EN PROCESO|2017-01-23 12:45:41|148|PedeJustoLacinia.pdf
499|21|EN PROCESO|2020-02-23 21:20:30|397|Quis.avi
500|242|RECHAZADO|2022-08-25 00:30:40|319|VelitIdPretium.xls
